Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,40.5549,-118.33992,0,bottom
C2,22pF,C_0805_2012Metric,44.26862,-115.65792,270,bottom
C3,1uF,C_0805_2012Metric,26.63,-104.7875,90,bottom
C4,0.1uF,C_0603_1608Metric,29.2425,-105.55,180,bottom
C5,0.1uF,C_0603_1608Metric,29.23,-103.95,180,bottom
C6,0.1uF,C_0603_1608Metric,19.53,-118.4375,90,bottom
C7,10uF,C_0603_1608Metric,21.155,-118.45,90,bottom
D1,D_Small,D_SOD-123,10.6375,-46.245,270,bottom
D2,D_Small,D_SOD-123,40.80008,-55.76912,180,bottom
D3,D_Small,D_SOD-123,59.85016,-55.77,180,bottom
D4,D_Small,D_SOD-123,78.90024,-55.76912,180,bottom
D5,D_Small,D_SOD-123,97.95032,-55.76912,180,bottom
D6,D_Small,D_SOD-123,117.0004,-55.76912,180,bottom
D7,D_Small,D_SOD-123,136.05048,-55.76912,180,bottom
D8,D_Small,D_SOD-123,155.10056,-55.77,180,bottom
D9,D_Small,D_SOD-123,174.15064,-55.77,180,bottom
D10,D_Small,D_SOD-123,193.20072,-55.77,180,bottom
D11,D_Small,D_SOD-123,212.2508,-55.77,180,bottom
D12,D_Small,D_SOD-123,231.30088,-55.77,180,bottom
D13,D_Small,D_SOD-123,250.35096,-55.77,180,bottom
D14,D_Small,D_SOD-123,274.16356,-55.76912,180,bottom
D15,D_Small,D_SOD-123,16.98748,-74.82,180,bottom
D16,D_Small,D_SOD-123,40.80008,-74.8192,180,bottom
D17,D_Small,D_SOD-123,59.85016,-74.8192,180,bottom
D18,D_Small,D_SOD-123,78.90024,-74.82,180,bottom
D19,D_Small,D_SOD-123,97.95032,-74.8192,180,bottom
D20,D_Small,D_SOD-123,117.0004,-74.82,180,bottom
D21,D_Small,D_SOD-123,136.05048,-74.82,180,bottom
D22,D_Small,D_SOD-123,155.10056,-74.82,180,bottom
D23,D_Small,D_SOD-123,174.15064,-74.8192,180,bottom
D24,D_Small,D_SOD-123,193.20072,-74.8825,180,bottom
D25,D_Small,D_SOD-123,212.2508,-74.82,180,bottom
D26,D_Small,D_SOD-123,231.30088,-74.8192,180,bottom
D27,D_Small,D_SOD-123,250.35096,-74.82,180,bottom
D28,D_Small,D_SOD-123,274.16356,-65.29416,0,bottom
D29,D_Small,D_SOD-123,16.98748,-93.87,180,bottom
D30,D_Small,D_SOD-123,39.94375,-93.87,180,bottom
D31,D_Small,D_SOD-123,59.85016,-93.86928,180,bottom
D32,D_Small,D_SOD-123,78.90024,-93.87,180,bottom
D33,D_Small,D_SOD-123,97.95032,-93.87,180,bottom
D34,D_Small,D_SOD-123,117.0004,-93.86928,180,bottom
D35,D_Small,D_SOD-123,136.05048,-93.87,180,bottom
D36,D_Small,D_SOD-123,155.10056,-93.86928,180,bottom
D37,D_Small,D_SOD-123,174.15064,-93.87,180,bottom
D38,D_Small,D_SOD-123,193.20072,-93.86928,180,bottom
D39,D_Small,D_SOD-123,212.2508,-93.87,180,bottom
D40,D_Small,D_SOD-123,231.30088,-93.87,180,bottom
D41,D_Small,D_SOD-123,250.35096,-93.87,180,bottom
D42,D_Small,D_SOD-123,274.16356,-93.87,180,bottom
